Table.Name;Field.Name;DataType
Country;cnty_Version;Positive integer
Municipality;mncp_Version;Positive integer
Dimension;dim_Version;Positive integer
Unit;unit_Version;Positive integer
Material;mat_Version;Positive integer
Property;prop_Version;Positive integer
w_BillingAssessment;ba_BillingCodeInstance;Positive integer
Conversion;cnv_Version;Positive integer
Station;stn_Version;Positive integer
w_BillingAssessment;ba_ReimbursementClause;INT64
Correspondent;crsp_Version;Positive integer
Person;prsn_Version;Positive integer
Organization;org_Version;Positive integer
w_BillingAssessment;ba_Reimburser;INT64
w_BillingCodeInstance;bci_BillingCode;INT64
w_BillingCodeInstance;bci_Tariff;INT64
Institution;inst_Version;Positive integer
Ward;ward_Version;Positive integer
Lab;lab_Version;Positive integer
Department;dept_Version;Positive integer
Identification;idnt_Version;Positive integer
Encounter;enct_Version;Positive integer
Stay;stay_Version;Positive integer
Object;obj_Version;Positive integer
Report;rprt_Version;Positive integer
gp_Sequence;seq_Version;Positive integer
gp_Preference;pref_Version;Positive integer
WorkList;wlst_Version;Positive integer
WorkListEntry;wle_Version;Positive integer
QCPopulation;qcp_Version;Positive integer
QCSchedule;qcs_Version;Positive integer
MaterialDescription;ml18_Version;Positive integer
PropertyDescription;ml27_Version;Positive integer
sp_Domain;sdmn_Version;Positive integer
ObjectTemplate;objt_Version;Positive integer
WorkListTemplate;wlt_Version;Positive integer
WorkListTemplateEntry;wlte_Version;Positive integer
ReportTemplate;rptp_Version;Positive integer
Report;rprt_Template;INT64
gp_Site;gsit_ConnectionTimeout;Positive integer
gp_Site;gsit_Title;String
gp_Site;gsit_Version;Positive integer
gp_Site;gsit_LastUpdateUser;INT64
gp_Site;gsit_Language;INT64
gp_Site;gsit_Name;String
gp_Site;gsit_MaximumPasswordAge;Positive integer
gp_Site;gsit_MinimumPasswordLength;Positive integer
gp_Site;gsit_ContextTimeout;Positive integer
gp_Site;gsit_AuthorizationTimeout;Positive integer
sc_User;usr_ContextTimeout;Positive integer
sc_User;usr_AuthorizationTimeout;Positive integer
sc_User;usr_MaximumPasswordAge;Positive integer
sc_User;usr_MinimumPasswordLength;Positive integer
SpecificSite;ssit_CreationUser;INT64
SpecificSite;ssit_LastUpdateUser;INT64
SpecificSite;ssit_Version;Positive integer
SpecificSite;ssit_Name;String
gp_Site;gsit_Printer;INT64
sc_User;usr_Printer;INT64
SpecificSite;ssit_LastNamePrefixList;String
Object;obj_Comment;String
SpecificSite;ssit_LabelPrinter;INT64
SpecificSite;ssit_ActionLabel;INT64
SpecificSite;ssit_OrderInternalId;INT64
rt_Field;rtfd_TargetTable;INT64
rt_Message;rtmg_Code;Mnemonic
rt_Message;rtmg_Version;Positive integer
rt_Message;rtmg_Id;INT64
Specimen;spmn_Id;INT64
Specimen;spmn_CreationUser;INT64
Specimen;spmn_LastUpdateUser;INT64
Specimen;spmn_Version;Positive integer
Specimen;spmn_InternalId;String
Specimen;spmn_Object;INT64
Specimen;spmn_InternalComment;String
Specimen;spmn_SamplingTime;DateTime
Specimen;spmn_ReceiptTime;DateTime
Specimen;spmn_Size;Positive fractional
Specimen;spmn_ExternalId;String
Specimen;spmn_Hazardous;Logical
Specimen;spmn_DestructScheduleDate;Date
Specimen;spmn_DiscontinuationTime;DateTime
Specimen;spmn_Status;Enumerated
Procedure;proc_Id;INT64
Procedure;proc_CreationUser;INT64
Procedure;proc_LastUpdateUser;INT64
Procedure;proc_Version;Positive integer
Procedure;proc_Name;String
Procedure;proc_Code;String
Procedure;proc_Station;INT64
Procedure;proc_Department;INT64
Procedure;proc_Turnover;Positive fractional
Procedure;proc_Destructive;Logical
Procedure;proc_SOP;String
Procedure;proc_Comment;String
ProcedureInput;prci_Id;INT64
ProcedureInput;prci_CreationUser;INT64
ProcedureInput;prci_LastUpdateUser;INT64
ProcedureInput;prci_Version;Positive integer
ProcedureInput;prci_Procedure;INT64
ProcedureInput;prci_Type;Enumerated
ProcedureOutput;prco_Id;INT64
ProcedureOutput;prco_CreationUser;INT64
ProcedureOutput;prco_LastUpdateUser;INT64
ProcedureOutput;prco_Version;Positive integer
ProcedureOutput;prco_Procedure;INT64
ProcedureOutput;prco_Shareable;Logical
ProcedureOutput;prco_Type;Enumerated
PropertyOutput;prpo_Id;INT64
PropertyOutput;prpo_CreationUser;INT64
PropertyOutput;prpo_LastUpdateUser;INT64
PropertyOutput;prpo_Version;Positive integer
PropertyOutput;prpo_ProcedureOutput;INT64
MaterialInput;mati_Id;INT64
MaterialInput;mati_CreationUser;INT64
MaterialInput;mati_LastUpdateUser;INT64
MaterialInput;mati_Version;Positive integer
MaterialInput;mati_ProcedureInput;INT64
MaterialInput;mati_Material;INT64
MaterialInput;mati_MinimalSize;Positive fractional
QCPopulation;qcp_CreationUser;INT64
QCSchedule;qcs_CreationUser;INT64
QCSchedule;qcs_LastUpdateUser;INT64
Identification;idnt_CreationUser;INT64
Identification;idnt_LastUpdateUser;INT64
PropertyInput;prpi_Id;INT64
PropertyInput;prpi_CreationUser;INT64
PropertyInput;prpi_LastUpdateUser;INT64
PropertyInput;prpi_Version;Positive integer
PropertyInput;prpi_ProcedureInput;INT64
PropertyInput;prpi_Property;INT64
MaterialOutput;mato_Id;INT64
MaterialOutput;mato_CreationUser;INT64
MaterialOutput;mato_LastUpdateUser;INT64
MaterialOutput;mato_Version;Positive integer
MaterialOutput;mato_ProcedureOutput;INT64
MaterialOutput;mato_Material;INT64
MaterialOutput;mato_Production;Positive fractional
Action;actn_Id;INT64
Action;actn_CreationUser;INT64
Action;actn_LastUpdateUser;INT64
Action;actn_Version;Positive integer
Action;actn_Object;INT64
Action;actn_Procedure;INT64
Conversion;cnv_CreationUser;INT64
Conversion;cnv_LastUpdateUser;INT64
Action;actn_Status;Enumerated
Action;actn_DueTime;DateTime
SpecimenInput;spmi_Id;INT64
SpecimenInput;spmi_CreationUser;INT64
SpecimenInput;spmi_LastUpdateUser;INT64
SpecimenInput;spmi_Version;Positive integer
SpecimenInput;spmi_Action;INT64
SpecimenInput;spmi_MaterialInput;INT64
SpecimenInput;spmi_Specimen;INT64
SpecimenInput;spmi_Status;Enumerated
Correspondent;crsp_CreationUser;INT64
Correspondent;crsp_LastUpdateUser;INT64
Specimen;spmn_Material;INT64
SpecimenOutput;spmo_Id;INT64
SpecimenOutput;spmo_CreationUser;INT64
SpecimenOutput;spmo_LastUpdateUser;INT64
SpecimenOutput;spmo_Version;Positive integer
SpecimenOutput;spmo_Specimen;INT64
SpecimenOutput;spmo_Action;INT64
SpecimenOutput;spmo_MaterialOutput;INT64
Country;cnty_CreationUser;INT64
Country;cnty_LastUpdateUser;INT64
Department;dept_CreationUser;INT64
Department;dept_LastUpdateUser;INT64
WorkListTemplate;wlt_CreationUser;INT64
WorkListTemplate;wlt_LastUpdateUser;INT64
Dimension;dim_CreationUser;INT64
Dimension;dim_LastUpdateUser;INT64
Encounter;enct_CreationUser;INT64
Encounter;enct_LastUpdateUser;INT64
ResultInput;rsti_Id;INT64
ResultInput;rsti_CreationUser;INT64
ResultInput;rsti_LastUpdateUser;INT64
ResultInput;rsti_Version;Positive integer
Result;rslt_Id;INT64
Result;rslt_CreationUser;INT64
Result;rslt_LastUpdateUser;INT64
Encounter;enct_StartTime;DateTime
Result;rslt_Version;Positive integer
ResultInput;rsti_Action;INT64
ResultInput;rsti_PropertyInput;INT64
ResultInput;rsti_Result;INT64
ResultInput;rsti_Status;Enumerated
ResultOutput;rsto_Id;INT64
ResultOutput;rsto_CreationUser;INT64
ResultOutput;rsto_LastUpdateUser;INT64
ResultOutput;rsto_Version;Positive integer
ResultOutput;rsto_Action;INT64
ResultOutput;rsto_PropertyOutput;INT64
ResultOutput;rsto_Result;INT64
Encounter;enct_EndTime;DateTime
WorkListTemplate;wlt_Comment;String
WorkListTemplateEntry;wlte_CreationUser;INT64
WorkListTemplateEntry;wlte_LastUpdateUser;INT64
